antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'368c6c730842d78016ad823897a372db'}),frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),0.08100558659217877,0.08752327746741155,0.0074487895716946,0.09195402298850575,1.0506236243580336,1.0,0.00035891513997690465,1.0048794286118379,0.052431610942249254,0.04624277456647398,0.004855735397607312,0.08853020298361458
frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),frozenset({'368c6c730842d78016ad823897a372db'}),0.08752327746741155,0.08100558659217877,0.0074487895716946,0.0851063829787234,1.0506236243580338,1.0,0.00035891513997690465,1.0044822658178512,0.0528061224489796,0.04624277456647398,0.004462264761042489,0.08853020298361458
frozenset({'368c6c730842d78016ad823897a372db'}),frozenset({'422879e10f46682990de24d770e7f83d'}),0.08100558659217877,0.09683426443202979,0.00186219739292365,0.022988505747126436,0.2374005305039788,1.0,-0.005981918999615076,0.9244166940519224,-0.777552400270453,0.010582010582010581,-0.08176324209029505,0.021109637488947834
frozenset({'422879e10f46682990de24d770e7f83d'}),frozenset({'368c6c730842d78016ad823897a372db'}),0.09683426443202979,0.08100558659217877,0.00186219739292365,0.019230769230769232,0.2374005305039788,1.0,-0.005981918999615076,0.9370139117099353,-0.7805429864253393,0.010582010582010581,-0.06722001402852466,0.021109637488947834
frozenset({'368c6c730842d78016ad823897a372db'}),frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.08100558659217877,0.08193668528864059,0.004655493482309125,0.0574712643678161,0.7014106583072102,1.0,-0.0019818357729159504,0.9740427851205886,-0.3165766514333193,0.029411764705882356,-0.02664894733160802,0.057144723092998964
frozenset({'389d119b48cf3043d311335e499d9c6b'}),frozenset({'368c6c730842d78016ad823897a372db'}),0.08193668528864059,0.08100558659217877,0.004655493482309125,0.05681818181818182,0.7014106583072102,1.0,-0.0019818357729159504,0.9743555226492563,-0.3167960088691794,0.029411764705882356,-0.026319425255595462,0.057144723092998964
"frozenset({'368c6c730842d78016ad823897a372db', '53759a2ecddad2bb87a079a1f1519f73'})",frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.0074487895716946,0.08193668528864059,0.00186219739292365,0.25,3.0511363636363638,1.0,0.0012518682660064015,1.224084419615146,0.6772983114446529,0.02127659574468085,0.18306288032454363,0.13636363636363635
"frozenset({'368c6c730842d78016ad823897a372db', '389d119b48cf3043d311335e499d9c6b'})",frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),0.004655493482309125,0.08752327746741155,0.00186219739292365,0.39999999999999997,4.5702127659574465,1.0,0.0014547333451237824,1.520794537554314,0.784845650140318,0.020618556701030927,0.3424489795918367,0.2106382978723404
"frozenset({'53759a2ecddad2bb87a079a1f1519f73', '389d119b48cf3043d311335e499d9c6b'})",frozenset({'368c6c730842d78016ad823897a372db'}),0.008379888268156424,0.08100558659217877,0.00186219739292365,0.22222222222222224,2.743295019157088,1.0,0.0011833796281847217,1.1815642458100557,0.6408450704225352,0.02127659574468085,0.15366430260047284,0.12260536398467434
frozenset({'368c6c730842d78016ad823897a372db'}),"frozenset({'53759a2ecddad2bb87a079a1f1519f73', '389d119b48cf3043d311335e499d9c6b'})",0.08100558659217877,0.008379888268156424,0.00186219739292365,0.022988505747126436,2.743295019157088,1.0,0.0011833796281847217,1.0149523496549457,0.6914893617021277,0.02127659574468085,0.014732070584426096,0.12260536398467434
